,walks,hits,hr,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,firstyear,OBP,SLG,AVG,L,R,R,2B,3B,CATCHER,CF,DH,LF,RF,SS,prob,inducted,playerID,nameFirst,nameLast
116,513,2844,311,1354,1332,127,153.0,39.0,40.0,1233,14922,143,14.0,1.0,13.0,1.0,1.0,2543,2017,0.3335286649086825,0.4640325271059216,0.2964970809007506,0,1,1,0,0,1,0,0,0,0,0,0.87,,rodriiv01,Ivan,Rodriguez
117,737,2134,332,1109,1287,106,134.0,37.0,34.0,95,3114,65,6.0,0.0,0.0,1.0,0.0,1942,2014,0.36930668016194335,0.5157027142248117,0.30325422765382976,0,1,1,0,0,0,0,0,1,0,0,0.02,,aloumo01,Moises,Alou
118,291,1583,134,731,774,59,65.0,19.0,15.0,3501,2634,169,3.0,0.0,0.0,0.0,1.0,1630,2011,0.33174305673879706,0.42250413678985105,0.2910461481890053,0,0,1,1,0,0,0,0,0,0,0,0.0,,baergca01,Carlos,Baerga
120,1087,1833,224,1033,864,104,88.0,16.0,24.0,5891,4882,189,6.0,0.0,4.0,1.0,1.0,2008,1992,0.3705164550721065,0.42365747460087083,0.2660377358490566,0,1,1,1,0,0,0,0,0,0,0,0.02,,grichbo01,Bobby,Grich
121,1109,2038,473,1241,1512,14,37.0,13.0,10.0,1067,15236,131,2.0,0.0,0.0,1.0,0.0,2035,2015,0.3833891648377036,0.545928875463408,0.2798297404915557,1,0,1,0,0,0,0,0,0,0,0,0.11,,delgaca01,Carlos,Delgado
123,514,2055,123,985,854,216,149.0,34.0,37.0,5445,3023,198,0.0,0.0,2.0,1.0,0.0,1985,2017,0.3172725054891437,0.38971171647712244,0.27175350436392487,0,1,1,0,0,0,0,0,0,0,1,0.0,,cabreor01,Orlando,Cabrera
124,242,582,84,330,322,30,3.0,0.0,4.0,23,693,17,0.0,0.0,0.0,1.0,0.0,1051,1981,0.3303149606299213,0.41998231653404067,0.2572944297082228,1,0,1,0,0,0,0,0,1,0,0,0.0,,brownga01,Gates,Brown
126,547,1253,175,656,760,13,205.0,64.0,56.0,41,1326,24,2.0,0.0,0.0,1.0,1.0,1236,2018,0.36016613924050633,0.46172895092300764,0.2820801440792436,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,matsuhi01,Hideki,Matsui
127,761,3023,149,1610,900,938,87.0,34.0,21.0,142,4394,196,5.0,0.0,0.0,2.0,1.0,2616,1985,0.3425992134429746,0.41018195896244675,0.29258614014711576,1,0,0,0,0,0,0,0,1,0,0,0.82,,brocklo01,Lou,Brock
128,348,1001,141,544,531,57,196.0,48.0,58.0,1821,1219,119,1.0,0.0,1.0,3.0,1.0,1146,2007,0.32277456647398844,0.4217022370789406,0.25739264592440214,0,1,1,0,1,0,0,0,0,0,0,0.0,,brosisc01,Scott,Brosius
130,1243,2210,54,1239,687,271,162.0,36.0,47.0,6339,4859,237,5.0,0.0,0.0,2.0,3.0,2202,1998,0.37285058207839367,0.35145921676228487,0.27562983287602894,0,1,1,1,0,0,0,0,0,0,0,0.02,,randowi01,Willie,Randolph
135,154,966,28,444,355,47,0.0,0.0,0.0,3197,1648,131,1.0,0.0,0.0,0.0,0.0,1086,2006,0.2922882427307206,0.3408119658119658,0.25801282051282054,0,1,1,0,0,0,0,0,0,0,1,0.0,,disarga01,Gary,Disarcina
136,552,1775,252,927,1021,94,118.0,34.0,31.0,4594,3445,117,2.0,0.0,4.0,0.0,1.0,1780,2011,0.32479327639962047,0.4418674248092174,0.2655992817596888,0,1,1,1,0,0,0,0,0,0,0,0.01,0.0,boonebr01,Bret,Boone
137,663,1838,105,679,826,38,106.0,33.0,36.0,1185,11325,183,4.0,0.0,7.0,1.0,0.0,2264,1996,0.31488883337496876,0.3461697722567288,0.2536922015182885,0,1,1,0,0,1,0,0,0,0,0,0.02,,boonebo01,Bob,Boone
138,541,1934,208,1125,846,346,189.0,56.0,49.0,97,4739,71,3.0,0.0,7.0,3.0,0.0,1941,2007,0.31949120838009726,0.41911764705882354,0.2633442265795207,0,0,1,0,0,0,1,0,0,0,0,0.0,,whitede03,Devon,White
139,564,1594,109,780,738,225,68.0,21.0,21.0,4356,2746,259,3.0,0.0,0.0,3.0,0.0,1860,1994,0.32268511703223907,0.38852672750977835,0.25977835723598436,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,garneph01,Phil,Garner
142,263,1127,166,536,641,71,24.0,5.0,12.0,267,3336,73,0.0,0.0,0.0,1.0,1.0,1472,1989,0.29965899403239554,0.4381301558203483,0.2582493125572869,0,1,1,0,0,0,0,0,1,0,0,0.0,,robinbi02,Bill,Robinson
143,479,2599,272,1143,1308,83,222.0,75.0,55.0,1434,19004,130,10.0,1.0,4.0,1.0,4.0,2332,1993,0.3293755963108237,0.446066779852858,0.29417091114883986,0,1,1,0,0,0,0,0,0,0,0,0.49,0.0,garvest01,Steve,Garvey
144,323,1802,117,777,754,248,107.0,29.0,29.0,94,4449,78,0.0,0.0,8.0,1.0,1.0,1749,1992,0.3201481481481481,0.41288895909019113,0.2846311799083873,0,1,1,0,0,0,1,0,0,0,0,0.0,,maddoga01,Garry,Maddox
145,683,2712,339,1272,1493,154,111.0,26.0,30.0,152,3949,144,6.0,1.0,3.0,2.0,1.0,2466,1997,0.33889816360601,0.4707202393673862,0.2898055139987177,1,0,1,0,0,0,0,0,0,1,0,0.13,,parkeda01,Dave,Parker
146,553,2074,151,1007,874,224,128.0,39.0,33.0,2847,2098,153,1.0,0.0,0.0,1.0,2.0,1862,1998,0.34271523178807944,0.4105895501536742,0.2897457390332495,0,1,1,0,1,0,0,0,0,0,0,0.0,,lansfca01,Carney,Lansford
149,457,1936,434,1061,1404,26,62.0,18.0,15.0,91,2595,46,3.0,2.0,0.0,0.0,0.0,1689,2011,0.34321263805396335,0.5607077486272117,0.2953020134228188,0,1,1,0,0,0,0,0,0,1,0,0.32,0.0,gonzaju03,Juan,Gonzalez
151,970,1674,299,986,1016,48,59.0,17.0,16.0,99,2695,64,0.0,0.0,0.0,1.0,0.0,1672,2012,0.3851399346498082,0.49848331648129424,0.282103134479272,0,1,1,0,0,0,0,0,0,1,0,0.0,,salmoti01,Tim,Salmon
152,418,1453,162,638,745,23,89.0,25.0,25.0,651,7849,100,3.0,0.0,0.0,1.0,2.0,1546,2005,0.32630505016153716,0.4198174706649283,0.27062767740733845,0,1,1,0,0,1,0,0,0,0,0,0.0,,steinte01,Terry,Steinbach
155,371,1243,117,641,500,44,34.0,8.0,11.0,327,3688,46,0.0,0.0,4.0,1.0,0.0,1517,1984,0.2984360625574977,0.3765432098765432,0.2475109518120271,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,stanlmi01,Mickey,Stanley
156,297,984,43,448,372,6,61.0,11.0,19.0,2823,2115,75,0.0,0.0,0.0,1.0,1.0,1140,1991,0.31025395304264497,0.34264821102115434,0.25698615826586574,0,1,1,1,0,0,0,0,0,0,0,0.0,,dauerri01,Rich,Dauer
158,692,1229,228,760,760,231,26.0,1.0,11.0,2147,1276,217,2.0,0.0,0.0,2.0,0.0,1531,2001,0.33964248159831756,0.4461538461538462,0.24878542510121457,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,johnsho01,Howard,Johnson
